,sig_mos,bak_mos,ovr_mos
dev/1/S07_P20_71.wav,2.146231174880368,3.593810866109375,2.0964634205585124
dev/1/S07_P20_72.wav,2.121904352012573,3.271892104337386,2.348383392945603
dev/1/S07_P20_73.wav,2.2476367158174453,3.4207725314026804,2.051145367225863
dev/1/S07_P20_74.wav,2.191080102192008,3.617643612105484,2.2070463158867994
dev/1/S07_P20_76.wav,2.629261878271859,3.387861308432522,2.441022298674209
dev/1/S07_P20_77.wav,2.307082695871125,3.3219052903242376,2.278520894503889
dev/1/S07_P20_79.wav,2.3419678045174925,3.483701626055586,2.443603448944093
dev/1/S07_P20_80.wav,2.741457210265601,3.610329877880383,2.841638465617376
dev/1/S07_P20_81.wav,2.459894791540324,3.3822901670081595,2.5264651621505934
dev/1/S07_P20_82.wav,2.357963564613182,3.314404974492082,2.54731799514438
dev/1/S07_P20_83.wav,2.483000057755689,3.2545763770764267,2.5099327760025814
dev/1/S07_P20_84.wav,2.0999771150458786,3.3353942208406915,2.2935076239419407
dev/1/S07_P20_86.wav,2.101131599120742,3.2922453579213764,2.332315548085698
dev/1/S07_P20_89.wav,2.3649849193297965,3.2001288379633444,2.3277238846569026
dev/1/S07_P20_90.wav,2.1492656047094627,3.197919756208134,2.336027507686071
dev/1/S07_P20_91.wav,2.2461397003708177,3.3847333328893123,2.368435170458361
dev/1/S07_P20_92.wav,2.310385952344329,3.311442528957832,2.2236522336060287
dev/1/S07_P20_93.wav,2.3055951112423294,3.3274721591925536,2.2760045108956746
dev/1/S07_P20_95.wav,2.871701945571784,3.457198535020337,2.5094394648138727
dev/1/S07_P20_96.wav,3.0291056321827385,3.5540423924718394,2.926805251626135
dev/1/S07_P20_97.wav,2.3244360907747503,3.396001752759936,2.375687166804188
dev/1/S07_P20_98.wav,2.1971969690067525,3.371489891681052,2.474126261007308
dev/1/S07_P20_99.wav,2.248411938431384,3.3772697895934587,2.4187165480375548
dev/1/S07_P20_100.wav,2.455855779399464,3.3413264208719693,2.2901502940351284
dev/1/S07_P20_101.wav,2.5638980403399265,3.3906433527025257,2.4376874191128426
dev/1/S07_P20_102.wav,2.398855515838654,3.369075400169853,2.489644295680112
dev/1/S07_P20_103.wav,2.320273257860795,3.358132231424456,2.508995580718007
dev/1/S07_P20_104.wav,2.37393081006519,3.5281207774151824,2.661968611886412
dev/1/S07_P20_107.wav,2.6988326097326736,3.381740180411229,2.738515106572642
dev/1/S07_P20_108.wav,2.474947368181286,3.489833931191994,2.814193010297738
dev/1/S07_P20_109.wav,2.329862406124158,3.315203154188808,2.5076224330892463
dev/1/S07_P20_110.wav,2.772205195679506,3.3128256098732227,2.702078935364184
dev/1/S07_P20_111.wav,2.6959102542358044,3.338961356451341,2.669377224654232
dev/1/S07_P20_112.wav,2.482644284178129,3.3975788311796804,2.845360922787537
dev/1/S07_P20_113.wav,2.4752895303373936,3.39434209360719,2.651395970324034
dev/1/S07_P20_114.wav,2.47843238859698,3.2809160715816623,2.679827143424701
dev/1/S07_P20_115.wav,2.5679368289077806,3.258785265512223,2.64719550939045
dev/1/S07_P20_117.wav,2.5661948026586585,3.462437179140483,2.612615439553227
dev/1/S07_P20_119.wav,2.6040516166818857,3.517985205368088,2.7863120164810984
dev/1/S07_P20_121.wav,2.2643225557968547,3.400751272409285,2.5621044908729926
dev/1/S07_P20_122.wav,2.2124537703230507,3.3259315048520044,2.2917952701028432
dev/1/S07_P20_123.wav,2.349418827611119,3.588343992765488,2.3586464510444785
dev/1/S07_P20_124.wav,1.9904368449045364,3.5367207247768686,2.3392024229052244
dev/1/S07_P20_125.wav,2.72522479547486,3.870957447657934,2.5995177175062443
dev/1/S07_P20_126.wav,2.274315975281669,3.489918448190393,2.282405004495627
dev/1/S07_P20_127.wav,2.1902353962417487,3.5739382189076743,2.1423683891702074
dev/1/S07_P20_128.wav,2.1807053369320903,3.774478644293717,2.234820474609749
dev/1/S07_P20_129.wav,2.221119793344265,3.7736754074740313,2.293817933232325
dev/1/S07_P20_130.wav,2.220457773585814,3.684297854978065,2.1939754549182595
dev/1/S07_P20_131.wav,2.0225425484566486,3.6109914412923416,2.353279819002443
dev/1/S07_P20_132.wav,2.450291866277076,3.863427599085083,2.362850496181928
dev/1/S07_P20_133.wav,2.4098652768180004,3.484725755685922,2.4963220074477364
dev/1/S07_P20_135.wav,2.229180530166555,3.7726090403440993,2.349820042950652
dev/1/S07_P20_136.wav,2.009670208435552,3.644388100049924,2.1992858590469777
dev/1/S07_P20_137.wav,2.2709773643119884,3.614041079630807,2.271734149472312
dev/1/S07_P20_138.wav,2.293409887114823,3.6448759783019113,2.2527768769474066
dev/1/S07_P20_139.wav,2.199171741949592,3.764340048347772,2.2903849212189784
dev/1/S07_P20_140.wav,2.1669643613980107,3.677151760867494,2.2081534074715186
dev/1/S07_P20_141.wav,1.8995301507735844,3.4956692083953382,2.1203486977716404
dev/1/S07_P20_144.wav,2.342466512716096,3.4280579559815125,2.231195004374121
dev/1/S07_P20_149.wav,2.366710484987456,3.413283795088766,2.531024252199595
dev/1/S07_P20_151.wav,2.472275784290004,3.4875442285991776,2.309068045051901
dev/1/S07_P20_152.wav,2.3765507880272505,3.663685959689005,2.4191077297675365
dev/1/S07_P20_153.wav,2.221005194397421,3.5837633846682686,2.215454198241109
dev/1/S07_P20_154.wav,2.5540438225807374,3.7700653829966666,2.4633088694058274
dev/1/S07_P20_155.wav,2.3513036718797258,3.608408584382429,2.298934160560397
dev/1/S07_P20_156.wav,2.057389250383132,3.6159777453884296,2.146352668052576
dev/1/S07_P20_157.wav,2.414870211752779,3.704502334758323,2.4075408750150675
dev/1/S07_P20_158.wav,2.314248721930755,3.7141506220606937,2.3860597159817094
dev/1/S07_P20_159.wav,2.6119161558393715,3.810779887171978,2.5508170362443408
dev/1/S07_P20_160.wav,2.24710107015748,3.727944162538486,2.310681842115344
dev/1/S07_P20_161.wav,2.2223609475408543,3.77845292558437,2.3061030638722864
dev/1/S07_P20_162.wav,2.4286076313221088,3.6944256270038274,2.3558243666347067
dev/1/S07_P20_163.wav,2.32033317314686,3.694883649007556,2.333467984261185
dev/1/S07_P20_164.wav,2.1841098432727053,3.643481727430019,2.182314886787132
dev/1/S07_P20_165.wav,2.0265650277979432,3.6710357368778688,2.3908793746802424
